"","Location_Name","Lot_Number","Y","X","ELEV_ft","STATE","COUNTY","COLLECT_DATE","PROV_SEED_ZONE","Plant Code","seed_weight","tz_2014_pct","ploidy_chr","notes","gb_psz","prop_weight","accession_id","No. plants","trnH-psbA cpDNA sequence","trnK-rps16 cpDNA sequence","Accession name","cpDNA haplotype","ploidy_num","bayesian_group","L. cinreus Rocky Mtn. race","L. cinreus Columbia race","L. cinreus Great Basin race","L. triticoides","race","color_group"
"1",NA,NA,42.3533,-121.8215,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_OR.05",3,"EF485719","EF486053","T-1520","44","28","2",0.0063,0.819,0.01,0.165,"Columbia","Columbia"
"2",NA,NA,42.4372,-121.2745,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.07",2,"EF485721","EF486055","T-1518","44","56","2",0.0055,0.934,0.0055,0.055,"Columbia","Columbia"
"3",NA,NA,41.67,-121.2552,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_CA.08",3,"EF485624","EF485958","T-1524","40","28","2",0.0123,0.8517,0.0653,0.071,"Columbia","Columbia"
"4",NA,NA,50.7847,-121.1893,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_T-1061",4,"EF485613","EF485947","PI 598958","41","56","2",0.005,0.9897,0.003,8e-04,"Columbia","Columbia"
"5",NA,NA,42.4088,-121.0593,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.06",2,"EF485720","EF486054","T-1517","48","56","2",0.053,0.817,0.064,0.0665,"Columbia","Columbia"
"6",NA,NA,41.4718,-120.9407,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_CA.06",3,"EF485622","EF485956","T-1526","40","56","2",0.0053,0.812,0.0567,0.126,"Columbia","Columbia"
"7",NA,NA,44.1792,-120.847,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.28",3,"EF485746","EF486080","T-1688","48","56","2",0.018,0.8943,0.072,0.0153,"Columbia","Columbia"
"8",NA,NA,50.204,-120.8408,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.16",3,"EF485599","EF485933","PI 655156","29","56","2",0.0023,0.9943,0.0027,0.001,"Columbia","Columbia"
"9",NA,NA,50.7185,-120.8385,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.26",2,"EF485609","EF485943","T-1059","41","56","2",0.0035,0.9925,0.0025,0.002,"Columbia","Columbia"
"10",NA,NA,50.7388,-120.8227,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.28",3,"EF485611","EF485945","PI 655155","41","56","2",0.0025,0.996,0.0015,0.001,"Columbia","Columbia"
"11",NA,NA,51.1667,-120.75,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.01",2,"EF485585","EF485919","Acc:319","41","56","2",0.005,0.9885,0.006,0.001,"Columbia","Columbia"
"12",NA,NA,49.3737,-120.75,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.08",2,"EF485591","EF485925","PI 655160","42","56","2",0.002,0.994,0.003,0.0015,"Columbia","Columbia"
"13",NA,NA,40.9052,-120.7415,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_CA.03",3,"EF485619","EF485953","T-1530","44","28","2",0.0223,0.772,0.194,0.0117,"Columbia","Columbia"
"14",NA,NA,50.1563,-120.675,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.14",3,"EF485597","EF485931","PI 655157","42","56","2",0.0023,0.9947,0.002,0.001,"Columbia","Columbia"
"15",NA,NA,44.308,-120.6413,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.30",2,"EF485748","EF486082","Acc:370","42","56","2",0.007,0.986,0.0055,0.001,"Columbia","Columbia"
"16",NA,NA,40.5868,-120.6382,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_CA.02",2,"EF485618","EF485952","T-1531","41","28","2",0.0535,0.6675,0.2775,0.001,"Columbia","Columbia"
"17",NA,NA,50.7027,-120.6023,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.22",2,"EF485605","EF485939","PI 598957","41","56","2",0.003,0.9945,0.002,0.001,"Columbia","Columbia"
"18",NA,NA,46.0847,-120.5515,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.03",2,"EF485795","EF486129","T-1000","41","56","2",0.0025,0.9915,0.0055,0.001,"Columbia","Columbia"
"19",NA,NA,50.143,-120.5398,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.13",2,"EF485596","EF485930","PI 655158","42","56","2",0.002,0.996,0.001,0.001,"Columbia","Columbia"
"20",NA,NA,41.2753,-120.5018,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_CA.05",2,"EF485621","EF485955","T-1537","42","56","2",0.008,0.8325,0.152,0.008,"Columbia","Columbia"
"21",NA,NA,40.9565,-120.5012,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_CA.04",4,"EF485620","EF485954","T-1536","9","28","2",0.0065,0.5915,0.374,0.0275,"Columbia","Columbia"
"22",NA,NA,41.5227,-120.4702,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_CA.07",3,"EF485623","EF485957","T-1538","44","28","2",0.0033,0.7027,0.1457,0.1483,"Columbia","Columbia"
"23",NA,NA,50.7037,-120.4393,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.23",2,"EF485606","EF485940","PI 639837","41","56","2",0.0035,0.993,0.0025,0.001,"Columbia","Columbia"
"24",NA,NA,50.7075,-120.4247,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.25",2,"EF485608","EF485942","PI 598956","41","56","2",0.003,0.9925,0.002,0.0025,"Columbia","Columbia"
"25",NA,NA,46.2352,-120.4177,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.04",3,"EF485796","EF486130","T-999","41","56","2",0.006,0.9883,0.0047,0.0017,"Columbia","Columbia"
