"","Location_Name","Lot_Number","Y","X","ELEV_ft","STATE","COUNTY","COLLECT_DATE","PROV_SEED_ZONE","Plant Code","seed_weight","tz_2014_pct","ploidy_chr","notes","gb_psz","prop_weight","accession_id","No. plants","trnH-psbA cpDNA sequence","trnK-rps16 cpDNA sequence","Accession name","cpDNA haplotype","ploidy_num","bayesian_group","L. cinreus Rocky Mtn. race","L. cinreus Columbia race","L. cinreus Great Basin race","L. triticoides","race","color_group"
"62",NA,NA,49.009,-119.2198,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.05",3,"EF485588","EF485922","PI 598961","41","56","2",0.0063,0.9847,0.006,0.0027,"Columbia","Columbia"
"63",NA,NA,45.4911,-119.1315,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.52",3,"EF485767","EF486101","T-1679","42","56","2",0.0043,0.992,0.0027,0.001,"Columbia","Columbia"
"64",NA,NA,47.8417,-119.1087,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.36",3,"EF485827","EF486161","T-987","41","56","2",0.0037,0.9757,0.0023,0.0187,"Columbia","Columbia"
"65",NA,NA,44.7281,-119.1042,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_OR.38",2,"-","-","T-1673","-","28","1",0.8805,0.101,0.016,0.0025,"Rocky Mtn.","Rocky Mtn."
"66",NA,NA,44.7281,-119.1042,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_OR.39",2,"EF485755","EF486089","T-1674","41","28","1",0.87,0.012,0.1175,0.001,"Rocky Mtn.","Rocky Mtn."
"67",NA,NA,47.3858,-119.0408,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.25",2,"EF485817","EF486151","T-983","42","56","2",0.005,0.9895,0.0045,0.001,"Columbia","Columbia"
"68",NA,NA,46.475,-119.0062,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.06",3,"EF485797","EF486131","T-998","48","56","2",0.0023,0.991,0.006,0.0013,"Columbia","Columbia"
"69",NA,NA,49.0683,-119.0057,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.06",3,"EF485589","EF485923","PI 636664","41","56","2",0.002,0.9943,0.0027,0.001,"Columbia","Columbia"
"70",NA,NA,45.3568,-118.9982,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.48",3,"EF485764","EF486098","T-1677","44","56","2",0.009,0.9833,0.0037,0.004,"Columbia","Columbia"
"71",NA,NA,42.6793,-118.998,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.08",2,"EF485722, 23","EF486056, 57","T-1694","18,49","56","3",0.01,0.4115,0.5775,0.002,"Great Basin","Great Basin"
"72",NA,NA,45.4082,-118.9922,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.50",2,"-","-","T-1678","-","56","2",0.0185,0.9495,0.0315,0.001,"Columbia","Columbia"
"73",NA,NA,48.0377,-118.9678,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.37",3,"EF485828","EF486162","T-1048","41","56","2",0.0023,0.984,0.0037,0.01,"Columbia","Columbia"
"74",NA,NA,44.1611,-118.9527,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.27",2,"EF485745","EF486079","T-1676","41","56","2",0.0055,0.9895,0.004,0.001,"Columbia","Columbia"
"75",NA,NA,44.9869,-118.9512,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.43",3,"EF485759","EF486093","T-1675","42","56","2",0.0417,0.9163,0.0357,0.0067,"Columbia","Columbia"
"76",NA,NA,43.1178,-118.9139,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.15",2,"EF485732","EF486066","T-1692","44","56","2",0.032,0.8975,0.068,0.0025,"Columbia","Columbia"
"77",NA,NA,42.8833,-118.8833,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_OR.12",2,"EF485729","EF486063","PI 516192","41","28","2",0.189,0.716,0.094,0.001,"Columbia","Columbia"
"78",NA,NA,44.4308,-118.8456,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.34",2,"EF485751","EF486085","T-1671","49","56","2",0.2215,0.7405,0.0365,0.001,"Columbia","Columbia"
"79",NA,NA,45.7167,-118.7833,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.55",2,"-","-","T-18","-","56","2",0.0025,0.994,0.003,0.001,"Columbia","Columbia"
"80",NA,NA,45.7667,-118.7833,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.56",3,"EF485769","EF486103","T-19","41","56","2",0.0047,0.9657,0.0223,0.0073,"Columbia","Columbia"
"81",NA,NA,47.5238,-118.7765,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.29",3,"EF485821","EF486155","T-989","41","56","2",0.005,0.992,0.0023,7e-04,"Columbia","Columbia"
"82",NA,NA,42.3287,-118.7664,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.03",2,"EF485717","EF486051","T-1696","37","56","1",0.4,0.2355,0.3635,0.001,"Rocky Mtn.","Rocky Mtn."
"83",NA,NA,43.4394,-118.6846,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.18",3,"EF485735","EF486069","T-1660","36","56","1",0.467,0.408,0.119,0.0063,"Rocky Mtn.","Rocky Mtn."
"84",NA,NA,46.95,-118.6333,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.18",3,"EF485810","EF486144","T-1013","48","56","2",0.0027,0.9917,0.0057,3e-04,"Columbia","Columbia"
"85",NA,NA,42.0667,-118.6,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.01",3,"EF485716","EF486050","PI 516191","44","56","3",0.01,0.1537,0.832,0.005,"Great Basin","Great Basin"
"86",NA,NA,46.0382,-118.4582,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.01",2,"EF485794","EF486128","T-1004","42","56","2",0.0075,0.989,0.0025,0.001,"Columbia","Columbia"
"87",NA,NA,47.3167,-118.4333,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.23",2,"EF485815","EF486149","T-982","41","56","2",0.002,0.992,0.004,0.0015,"Columbia","Columbia"
"88",NA,NA,46.6902,-118.4223,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.10",3,"EF485802","EF486136","T-997","41","56","2",0.004,0.993,0.002,0.001,"Columbia","Columbia"
"89",NA,NA,46.7597,-118.3377,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.12",2,"EF485804","EF486138","T-991","41","56","2",0.0045,0.9925,0.002,0.001,"Columbia","Columbia"
"90","Eldorado Canyon  LECI4","LECI4-1079-2014",40.522808,-118.227962,5420,"Nevada","Pershing",2014-07-30,"20 - 25 Deg. F. / 6 - 12","LECI4",0.110132158590308,92,"Tetraploid",NA,"Zone 16",0.0330687830687831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 16"
"91",NA,NA,43.0905,-118.2058,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_OR.14",3,"EF485731","EF486065","T-1659","41","28","1",0.8493,0.0503,0.0957,0.005,"Rocky Mtn.","Rocky Mtn."
"92",NA,NA,47.5503,-118.1835,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.30",2,"EF485822","EF486156","T-977","42","56","2",0.002,0.995,0.002,0.001,"Columbia","Columbia"
"93",NA,NA,47.7755,-118.1707,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.35",3,"EF485826","EF486160","T-978","40","56","2",0.0073,0.986,0.005,0.0017,"Columbia","Columbia"
"94",NA,NA,41.4395,-118.1662,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.49",3,"-","-","T-1700","-","56","2",0.0053,0.6617,0.332,0.0013,"Columbia","Columbia"
"95",NA,NA,44.42,-118.114,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_OR.33",2,"EF485750","EF486084","-","-","28","1",0.8095,0.1505,0.038,0.0015,"Rocky Mtn.","Rocky Mtn."
"96",NA,NA,46.7672,-118.0258,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.13",2,"EF485805","EF486139","T-993","41","56","2",0.003,0.9925,0.0035,0.001,"Columbia","Columbia"
"97",NA,NA,45.2865,-118.0247,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.47",2,"EF485763","EF486097","T-1007","41","56","2",0.0065,0.987,0.0065,0.001,"Columbia","Columbia"
"98",NA,NA,44.2333,-117.9667,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.29",3,"EF485747","EF486081","Acc:370","41","56","1",0.784,0.1157,0.1,0.001,"Rocky Mtn.","Rocky Mtn."
"99",NA,NA,46.7833,-117.95,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.15",2,"EF485807","EF486141","T-1014","42","56","2",0.004,0.993,0.002,0.001,"Columbia","Columbia"
"100",NA,NA,41.3858,-117.9378,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.46",3,"EF485699","EF486033","BK-33","30","56","3",0.047,0.0037,0.939,0.0107,"Great Basin","Great Basin"
"101",NA,NA,41.4021,-117.8844,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.47",2,"EF485700","EF486034","U85-02","30","56","3",0.0225,0.017,0.9585,0.002,"Great Basin","Great Basin"
"102","Quinn River Valley LECI4","LECI4-1113-2002",41.402056,-117.884377,4140,"Nevada","Humboldt",2002-07-23,"15 - 20 Deg. F. / 6 - 12","LECI4",2,NA,"Octoploid",NA,"Zone 12",0.1743679163034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 12"
"103",NA,NA,47.1865,-117.8695,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.21",3,"EF485813","EF486147","T-974","40","56","2",0.0023,0.99,0.004,0.0033,"Columbia","Columbia"
"104",NA,NA,42.7776,-117.8484,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.09",3,"EF485724","EF486058","T-1657","40","56","3",0.3513,0.0053,0.6423,0.001,"Great Basin","Great Basin"
