gbifID,stateProvince,decimalLatitude,decimalLongitude,year,basisOfRecord
2270659570,Arizona,35.1676,-111.51,1967,PRESERVED_SPECIMEN
3456601137,Arizona,35.168194,-111.509506,2021,HUMAN_OBSERVATION
3384093001,Arizona,35.168203,-111.509537,2021,HUMAN_OBSERVATION
3091267662,Arizona,35.168228,-111.502424,1947,PRESERVED_SPECIMEN
3091265534,Arizona,35.168228,-111.502424,1973,PRESERVED_SPECIMEN
1914206516,Arizona,35.172405,-111.509557,2018,HUMAN_OBSERVATION
2610077069,Arizona,35.192144,-114.050345,1957,PRESERVED_SPECIMEN
3053343503,Arizona,35.19556,-112.4717,1942,PRESERVED_SPECIMEN
3091240825,Arizona,35.197769,-111.91683,1914,PRESERVED_SPECIMEN
3091265533,Arizona,35.197977,-111.508549,1971,PRESERVED_SPECIMEN
1928695457,Arizona,35.198067,-111.651272,1894,PRESERVED_SPECIMEN
1846533671,Arizona,35.200047,-112.473253,,PRESERVED_SPECIMEN
2430530488,Arizona,35.202115,-111.47618,1884,PRESERVED_SPECIMEN
3759502699,Arizona,35.21032,-112.423294,2021,HUMAN_OBSERVATION
2610077497,Arizona,35.229977,-111.592151,1985,PRESERVED_SPECIMEN
3091240821,Arizona,35.2301,-111.5867,1985,PRESERVED_SPECIMEN
2422351387,Arizona,35.23256,-111.587,1985,PRESERVED_SPECIMEN
3091211044,Arizona,35.25668,-111.38318,2005,PRESERVED_SPECIMEN
3902643844,Arizona,35.287569,-111.049281,2022,HUMAN_OBSERVATION
2610076685,Arizona,35.288454,-110.991748,1956,PRESERVED_SPECIMEN
3398822253,Arizona,35.337805,-112.939195,2021,HUMAN_OBSERVATION
3399315242,Arizona,35.339888,-112.94815,2021,HUMAN_OBSERVATION
3398863295,Arizona,35.340088,-112.94832,2021,HUMAN_OBSERVATION
2610079212,Arizona,35.35,-112.966667,1997,PRESERVED_SPECIMEN
2422403471,Arizona,35.35,-112.96667,1997,PRESERVED_SPECIMEN
2270683221,Arizona,35.35,-112.967,1997,PRESERVED_SPECIMEN
2270683049,Arizona,35.35,-112.967,1997,PRESERVED_SPECIMEN
2270662461,Arizona,35.38,-114.46,1968,PRESERVED_SPECIMEN
3091240822,Arizona,35.381251,-111.46887,1968,PRESERVED_SPECIMEN
3772849179,Arizona,35.404173,-113.565396,2022,HUMAN_OBSERVATION
2610077455,Arizona,35.430678,-111.5914,1962,PRESERVED_SPECIMEN
3091220558,Arizona,35.444833,-111.571667,1959,PRESERVED_SPECIMEN
2270662704,Arizona,35.4475,-111.538,1962,PRESERVED_SPECIMEN
3091240823,Arizona,35.48389,-111.53389,1952,PRESERVED_SPECIMEN
3091225243,Arizona,35.487896,-113.535615,2012,PRESERVED_SPECIMEN
2270660435,Arizona,35.49,-114.35,1978,PRESERVED_SPECIMEN
3773405896,Arizona,35.52327,-111.586862,2022,HUMAN_OBSERVATION
2238990702,Arizona,35.526692,-113.227447,2019,HUMAN_OBSERVATION
3091299644,Arizona,35.54023,-114.50757,2008,PRESERVED_SPECIMEN
1929931283,Arizona,35.54023,-114.50757,2008,PRESERVED_SPECIMEN
3384902043,Arizona,35.552825,-112.159747,2021,HUMAN_OBSERVATION
2270662673,Arizona,35.56,-114.25,1978,PRESERVED_SPECIMEN
2270662059,Arizona,35.56,-114.25,1978,PRESERVED_SPECIMEN
1929682145,Arizona,35.565859,-111.471728,1939,PRESERVED_SPECIMEN
3355290168,Arizona,35.577283,-111.469056,2021,HUMAN_OBSERVATION
1928150631,Arizona,35.641108,-112.191003,1940,PRESERVED_SPECIMEN
3091218034,Arizona,35.6775,-111.808333,2010,PRESERVED_SPECIMEN
1846533719,Arizona,35.692656,-112.13366,1972,PRESERVED_SPECIMEN
3091207007,Arizona,35.70677,-109.55469,2002,PRESERVED_SPECIMEN
3091206979,Arizona,35.70681,-109.55363,2002,PRESERVED_SPECIMEN
2545501996,Arizona,35.717705,-113.749687,2011,HUMAN_OBSERVATION
2545499214,Arizona,35.717705,-113.749687,2011,HUMAN_OBSERVATION
2270557531,Arizona,35.732014,-114.547435,2011,PRESERVED_SPECIMEN
3466440660,Arizona,35.734617,-112.086114,2021,HUMAN_OBSERVATION
3091240824,Arizona,35.74583,-111.47278,1952,PRESERVED_SPECIMEN
2270660513,Arizona,35.75,-112.13,1940,PRESERVED_SPECIMEN
3302093397,Arizona,35.807056,-114.662872,2020,HUMAN_OBSERVATION
3456732215,Arizona,35.810395,-110.527992,2021,HUMAN_OBSERVATION
3091189191,Arizona,35.81987247,-113.4268138,2008,PRESERVED_SPECIMEN
1846515662,Arizona,35.82167443,-113.4268139,2008,PRESERVED_SPECIMEN
3455870069,Arizona,35.833613,-110.530267,2021,HUMAN_OBSERVATION
2610075858,Arizona,35.868752,-112.108058,1935,PRESERVED_SPECIMEN
3091261941,Arizona,35.87792,-111.41167,1986,PRESERVED_SPECIMEN
2283054162,Arizona,35.882478,-114.617638,2018,HUMAN_OBSERVATION
3091265192,Arizona,35.904167,-109.049722,1989,PRESERVED_SPECIMEN
3091240828,Arizona,35.91625,-109.794016,1965,PRESERVED_SPECIMEN
2270671126,Arizona,35.9453,-113.917,1973,PRESERVED_SPECIMEN
2270661327,Arizona,35.9453,-113.917,1973,PRESERVED_SPECIMEN
3091277089,Arizona,35.948639,-111.784889,2011,PRESERVED_SPECIMEN
1846555004,Arizona,35.948639,-111.784889,2011,PRESERVED_SPECIMEN
3091241529,Arizona,35.95385,-112.49715,2007,PRESERVED_SPECIMEN
3091224210,Arizona,35.96577,-111.72675,2012,PRESERVED_SPECIMEN
1838419443,Arizona,35.969158,-111.742583,2017,HUMAN_OBSERVATION
3091247101,Arizona,35.971781,-111.687508,2012,PRESERVED_SPECIMEN
3091275724,Arizona,35.97382,-111.83343,2011,PRESERVED_SPECIMEN
1846554070,Arizona,35.973833,-111.947281,2011,PRESERVED_SPECIMEN
2610077322,Arizona,36.008039,-112.121013,1937,PRESERVED_SPECIMEN
3091245595,Arizona,36.014,-111.031,1952,PRESERVED_SPECIMEN
3091240795,Arizona,36.014,-111.031,1950,PRESERVED_SPECIMEN
3091248564,Arizona,36.054,-113.866,1994,PRESERVED_SPECIMEN
1846534101,Arizona,36.055217,-111.842583,1997,PRESERVED_SPECIMEN
2270660228,Arizona,36.06,-112,1963,PRESERVED_SPECIMEN
1846556925,Arizona,36.060224,-112.212121,2014,PRESERVED_SPECIMEN
3091240796,Arizona,36.082321,-112.035512,1936,PRESERVED_SPECIMEN
3091240787,Arizona,36.082321,-112.035512,1936,PRESERVED_SPECIMEN
1846476769,Arizona,36.1035,-111.9983,2003,PRESERVED_SPECIMEN
3091253487,Arizona,36.11163,-109.43523,2001,PRESERVED_SPECIMEN
1846534128,Arizona,36.11278,-113.99528,1994,PRESERVED_SPECIMEN
1846483835,Arizona,36.124,-111.785683,1998,PRESERVED_SPECIMEN
3772682312,Arizona,36.130856,-109.470719,2018,HUMAN_OBSERVATION
1846533984,Arizona,36.131389,-112.119444,1992,PRESERVED_SPECIMEN
3091287318,Arizona,36.1422,-109.51081,2002,PRESERVED_SPECIMEN
1929273858,Arizona,36.15,-113.2,2000,PRESERVED_SPECIMEN
1928208413,Arizona,36.15,-113.2,2001,PRESERVED_SPECIMEN
3091287304,Arizona,36.152528,-109.369984,1962,PRESERVED_SPECIMEN
3091279314,Arizona,36.16817,-111.69559,2002,PRESERVED_SPECIMEN
811862043,Arizona,36.189385,-113.256219,2001,PRESERVED_SPECIMEN
3391342955,Arizona,36.218058,-113.078772,2021,HUMAN_OBSERVATION
3091240827,Arizona,36.26278,-112.70667,1953,PRESERVED_SPECIMEN
3091278134,Arizona,36.275,-109.86667,1952,PRESERVED_SPECIMEN
3384197566,Arizona,36.358222,-113.313725,2021,HUMAN_OBSERVATION
1846534116,Arizona,36.361158,-112.887191,1996,PRESERVED_SPECIMEN
2270531458,Arizona,36.36339,-113.8177,2018,PRESERVED_SPECIMEN
3091221801,Arizona,36.3748,-114.0312,1978,PRESERVED_SPECIMEN
2270662789,Arizona,36.3748,-114.031,1978,PRESERVED_SPECIMEN
2270660644,Arizona,36.3748,-114.031,1978,PRESERVED_SPECIMEN
3091189192,Arizona,36.39625469,-112.511647,2008,PRESERVED_SPECIMEN
1928124470,Arizona,36.4,-113.94,2001,PRESERVED_SPECIMEN
2270659398,Arizona,36.43,-110.07,1980,PRESERVED_SPECIMEN
3091202286,Arizona,36.47689,-113.55693,2016,PRESERVED_SPECIMEN
1846515865,Arizona,36.506317,-112.534062,2010,PRESERVED_SPECIMEN
3091296447,Arizona,36.511337,-110.50585,1952,PRESERVED_SPECIMEN
1846534133,Arizona,36.51558,-112.610238,2010,PRESERVED_SPECIMEN
1846516262,Arizona,36.51558,-112.610238,2010,PRESERVED_SPECIMEN
3091240791,Arizona,36.559177,-111.036758,1971,PRESERVED_SPECIMEN
1846554212,Arizona,36.580548,-112.012633,2012,PRESERVED_SPECIMEN
3425136348,Arizona,36.583316,-113.387869,2015,PRESERVED_SPECIMEN
2270489669,Arizona,36.586526,-113.387342,2012,PRESERVED_SPECIMEN
3091240017,Arizona,36.5931,-112.8174,2003,PRESERVED_SPECIMEN
2270660802,Arizona,36.6364,-111.955,1978,PRESERVED_SPECIMEN
1846534119,Arizona,36.656583,-112.589433,1997,PRESERVED_SPECIMEN
3091267664,Arizona,36.7232,-112.063,1984,PRESERVED_SPECIMEN
1846533897,Arizona,36.7232,-112.063,1984,PRESERVED_SPECIMEN
1901056971,Arizona,36.724165,-112.059082,2018,HUMAN_OBSERVATION
