well_plate,cell_location,sample_ID,
KRLA_3,H7,DY_16,0.024
KRLA_3,H8,DY_17,0.029
KRLA_3,H9,DY_18,0.019
KRLA_3,H10,DY_19,0.026
KRLA_3,H11,DY_20,0.024
KRLA_3,H12,EMPTY,
KRLA_4,A1,WC_05,
KRLA_4,A2,WC_06,
KRLA_4,A3,WC_07,
KRLA_4,A4,WC_08,
KRLA_4,A5,WC_09,
KRLA_4,A6,WC_10,
KRLA_4,A7,WC_11,
KRLA_4,A8,WC_12,
KRLA_4,A9,WC_13,
KRLA_4,A10,WC_14,
KRLA_4,A11,WC_15,
KRLA_4,A12,WC_16,
KRLA_4,B1,WC_17,
KRLA_4,B2,WC_18,
KRLA_4,B3,WC_19,
KRLA_4,B4,WC_20,
KRLA_4,B5,BA_01,
KRLA_4,B6,BA_02,
KRLA_4,B7,BA_03,
KRLA_4,B8,BA_04,
KRLA_4,B9,BA_05,
KRLA_4,B10,BA_06,
KRLA_4,B11,BA_07,
KRLA_4,B12,BA_08,
KRLA_4,C1,BA_09,
KRLA_4,C2,BA_10,
KRLA_4,C3,BA_11,
KRLA_4,C4,BA_12,
KRLA_4,C5,BA_13,
KRLA_4,C6,BA_14,
KRLA_4,C7,BA_15,
KRLA_4,C8,BA_16,
KRLA_4,C9,BA_17,
KRLA_4,C10,BA_18,
KRLA_4,C11,BA_19,
KRLA_4,C12,BA_20,
KRLA_4,D1,CL_01,
KRLA_4,D2,CL_02,
KRLA_4,D3,CL_03,
KRLA_4,D4,CL_04,
KRLA_4,D5,CL_05,
KRLA_4,D6,CL_06,
KRLA_4,D7,CL_07,
KRLA_4,D8,CL_08,
KRLA_4,D9,CL_09,
KRLA_4,D10,CL_10,
KRLA_4,D11,CL_11,
KRLA_4,D12,CL_12,
KRLA_4,E1,CL_13,
KRLA_4,E2,CL_14,
KRLA_4,E3,CL_15,
KRLA_4,E4,CL_16,
KRLA_4,E5,CL_17,
KRLA_4,E6,CL_18,
KRLA_4,E7,CL_19,
KRLA_4,E8,CL_20,
KRLA_4,E9,ME_01,
KRLA_4,E10,ME_02,
KRLA_4,E11,ME_03,
KRLA_4,E12,EMPTY,
KRLA_4,F1,ME_04,
KRLA_4,F2,ME_05,
KRLA_4,F3,ME_06,
KRLA_4,F4,ME_07,
KRLA_4,F5,ME_08,
KRLA_4,F6,ME_09,
KRLA_4,F7,ME_10,
KRLA_4,F8,ME_11,
KRLA_4,F9,ME_12,
KRLA_4,F10,ME_13,
KRLA_4,F11,ME_14,
KRLA_4,F12,EMPTY,
KRLA_4,G1,ME_15,
KRLA_4,G2,ME_16,
KRLA_4,G3,ME_17,
KRLA_4,G4,ME_18,
KRLA_4,G5,ME_19,
KRLA_4,G6,ME_20,
KRLA_4,G7,DT_01,
KRLA_4,G8,DT_02,
KRLA_4,G9,DT_03,
KRLA_4,G10,DT_04,
KRLA_4,G11,DT_05,
KRLA_4,G12,EMPTY,
KRLA_4,H1,DT_06,
KRLA_4,H2,DT_07,
KRLA_4,H3,DT_08,
KRLA_4,H4,JW_01,0.039
KRLA_4,H5,JW_02,
KRLA_4,H6,JW_03,
KRLA_4,H7,JW_04,
KRLA_4,H8,JW_05,
KRLA_4,H9,JW_06,
KRLA_4,H10,JW_07,
KRLA_4,H11,JW_08,
KRLA_4,H12,EMPTY,
KRLA_5,A1,TO_01,0.031
KRLA_5,A2,TO_02,0.018
KRLA_5,A3,TO_03,0.009
KRLA_5,A4,TO_04,0.036
KRLA_5,A5,TO_05,0.021
KRLA_5,A6,TO_06,0.017
KRLA_5,A7,TO_07,0.026
KRLA_5,A8,TO_08,0.024
KRLA_5,A9,TO_09,0.009
KRLA_5,A10,TO_10,0.032
KRLA_5,A11,TO_11,0.01
KRLA_5,A12,TO_12,0.028
KRLA_5,B1,TO_13,0.023
KRLA_5,B2,TO_14,0.011
KRLA_5,B3,TO_16,0.027
KRLA_5,B4,TO_17,0.036
KRLA_5,B5,TO_18,0.024
KRLA_5,B6,TO_19,0.031
KRLA_5,B7,TO_20,0.012
KRLA_5,B8,GA_01,0.003
KRLA_5,B9,GA_04,0.007
KRLA_5,B10,GA_06,0.006
KRLA_5,B11,GA_08,0.008
KRLA_5,B12,GA_09,0.011
KRLA_5,C1,GA_10,0.009
KRLA_5,C2,GA_11,0.014
KRLA_5,C3,GA_14,0.013
KRLA_5,C4,GA_15,0.008
KRLA_5,C5,GA_16,0.009
KRLA_5,C6,GA_17,0.007
KRLA_5,C7,GA_18,0.005
KRLA_5,C8,GA_20,0.012
KRLA_5,C9,PG_01,0.018
KRLA_5,C10,PG_02,0.007
KRLA_5,C11,PG_03,0.04
KRLA_5,C12,PG_04,0.012
KRLA_5,D1,PG_05,0.01
KRLA_5,D2,PG_06,0.016
KRLA_5,D3,PG_07,0.047
KRLA_5,D4,PG_08,0.032
KRLA_5,D5,PG_09,0.025
KRLA_5,D6,PG_10,0.026
KRLA_5,D7,PG_11,0.034
KRLA_5,D8,PG_12,0.049
KRLA_5,D9,PG_13,0.01
KRLA_5,D10,PG_14,0.033
KRLA_5,D11,PG_15,0.018
KRLA_5,D12,PG_16,0.033
KRLA_5,E1,PG_17,0.022
KRLA_5,E2,PG_18,0.028
KRLA_5,E3,PG_19,0.035
KRLA_5,E4,PG_20,0.029
KRLA_5,E5,RC_01,0.036
KRLA_5,E6,RC_02,0.025
KRLA_5,E7,RC_03,0.034
KRLA_5,E8,RC_04,0.02
KRLA_5,E9,RC_05,0.025
KRLA_5,E10,RC_06,0.027
KRLA_5,E11,RC_07,0.028
KRLA_5,E12,EMPTY,
KRLA_5,F1,RC_08,0.008
KRLA_5,F2,RC_09,0.018
KRLA_5,F3,RC_10,0.023
KRLA_5,F4,RC_11,0.032
KRLA_5,F5,RC_12,0.007
KRLA_5,F6,RC_13,0.011
KRLA_5,F7,RC_14,0.007
KRLA_5,F8,RC_15,0.017
KRLA_5,F9,RC_16,0.01
KRLA_5,F10,RC_17,0.005
KRLA_5,F11,RC_18,0.007
KRLA_5,F12,EMPTY,
KRLA_5,G1,RC_19,0.024
KRLA_5,G2,RC_20,0.023
KRLA_5,G3,GE_01,0.023
KRLA_5,G4,GE_02,0.013
KRLA_5,G5,GE_03,0.016
KRLA_5,G6,GE_04,0.033
KRLA_5,G7,GE_05,0.007
KRLA_5,G8,GE_06,0.034
KRLA_5,G9,GE_07,0.017
KRLA_5,G10,GE_08,0.019
KRLA_5,G11,GE_09,0.02
KRLA_5,G12,EMPTY,
KRLA_5,H1,GE_10,0.009
KRLA_5,H2,GE_11,0.016
KRLA_5,H3,GE_12,0.015
KRLA_5,H4,GE_13,0.021
KRLA_5,H5,GE_14,0.015
KRLA_5,H6,GE_15,0.016
KRLA_5,H7,GE_16,0.024
KRLA_5,H8,GE_17,0.022
KRLA_5,H9,GE_18,0.024
KRLA_5,H10,GE_19,0.018
KRLA_5,H11,GE_20,0.02
KRLA_5,H12,EMPTY,
KRLA_6,A1,SM_01,0.016
KRLA_6,A2,SM_02,0.015
KRLA_6,A3,SM_03,0.016
KRLA_6,A4,SM_04,0.018
KRLA_6,A5,SM_05,0.013
KRLA_6,A6,SM_06,0.015
KRLA_6,A7,SM_07,0.014
KRLA_6,A8,SM_08,0.021
KRLA_6,A9,SM_09,0.019
KRLA_6,A10,SM_10,0.01
KRLA_6,A11,SM_11,0.014
KRLA_6,A12,SM_12,0.017
KRLA_6,B1,SM_13,0.012
KRLA_6,B2,SM_14,0.016
KRLA_6,B3,SM_15,0.017
KRLA_6,B4,SM_16,0.016
KRLA_6,B5,SM_17,0.013
KRLA_6,B6,SM_18,0.009
KRLA_6,B7,SM_19,0.008
KRLA_6,B8,SM_20,0.025
KRLA_6,B9,VH_01,0.011
KRLA_6,B10,VH_02,0.023
KRLA_6,B11,VH_03,0.012
KRLA_6,B12,VH_04,0.005
KRLA_6,C1,VH_05,0.009
KRLA_6,C2,VH_06,0.007
KRLA_6,C3,VH_07,0.017
KRLA_6,C4,VH_08,0.008
KRLA_6,C5,VH_09,0.01
KRLA_6,C6,VH_10,0.009
KRLA_6,C7,VH_11,0.01
KRLA_6,C8,VH_12,0.014
KRLA_6,C9,VH_13,0.003
KRLA_6,C10,VH_17,0.008
KRLA_6,C11,VH_18,0.028
KRLA_6,C12,VH_19,0.007
KRLA_6,D1,VH_20,0.017
