"Pop","ID","All","Trail","Dist","Site","Side","Lat","Long","DensoAvg","C","N","C_N_Ratio","PC1","PC2","PC3","PC4","PC5"
"SOR450","7","SOR450_7","SOR","450","LS","R",10.42740103,-84.00247503,95.25,3.165,0.325,9.75,-68.9809640335068,-58.931905717151,134.603231796057,73.5051201626301,-34.7732440254036
"SOR450","8","SOR450_8","SOR","450","LS","R",10.42740103,-84.00247503,95.25,3.165,0.325,9.75,-41.6967568808647,-11.1955594923775,45.9342121903228,22.7936178370253,5.76794054881649
"SOR450","9","SOR450_9","SOR","450","LS","R",10.42740103,-84.00247503,95.25,3.165,0.325,9.75,-16.5498925272427,-18.2589106846252,4.89954657409701,-30.6642809936548,-15.3548499525564
"SOR700","10","SOR700_10","SOR","700","LS","B",10.426103,-84.001049,85.75,3.12,0.33,9.5,-16.5658057802384,-15.2188241240221,0.510067960717482,-30.8536526984461,6.59976385000302
"SOR700","1","SOR700_1","SOR","700","LS","B",10.426103,-84.001049,85.75,3.12,0.33,9.5,-28.7261577063133,-14.0343092994747,-12.1223499900771,-23.4210466023968,10.4978230818889
"SOR700","2","SOR700_2","SOR","700","LS","B",10.426103,-84.001049,85.75,3.12,0.33,9.5,-20.230922962152,-42.1043366374152,26.1943891237975,-97.4295495590556,-2.72718963118472
"SOR700","3","SOR700_3","SOR","700","LS","B",10.426103,-84.001049,85.75,3.12,0.33,9.5,-15.2222755934912,-14.2891830370283,1.33091199242584,-29.0788088311648,7.76201339538455
"SOR700","4","SOR700_4","SOR","700","LS","B",10.426103,-84.001049,85.75,3.12,0.33,9.5,-15.5825518652992,-34.3927939258966,26.5411234412144,-80.4326408737901,-0.418993094059396
"SOR700","5","SOR700_5","SOR","700","LS","B",10.426103,-84.001049,85.75,3.12,0.33,9.5,-20.0272387530466,-39.430767758463,23.9006626742132,-94.3645614631074,-5.26436665775451
"SOR700","6","SOR700_6","SOR","700","LS","B",10.426103,-84.001049,85.75,3.12,0.33,9.5,-16.5799684755694,-35.0878804376287,27.2609235513985,-78.113913397142,0.406962517499386
"SOR700","7","SOR700_7","SOR","700","LS","B",10.426103,-84.001049,85.75,3.12,0.33,9.5,-18.9304353076695,-37.4896392983981,19.3226957102585,-81.4343777824009,-4.52965654975847
"SOR700","8","SOR700_8","SOR","700","LS","B",10.426103,-84.001049,85.75,3.12,0.33,9.5,-17.037164558654,-14.38388422821,2.94693476123219,-32.4405518398262,9.63563861698537
"SOR700","9","SOR700_9","SOR","700","LS","B",10.426103,-84.001049,85.75,3.12,0.33,9.5,-21.021842980499,-39.5021468225659,25.1049310407464,-97.2092090088825,-5.20411098635048
"STR1050","1","STR1050_1","STR","1050","LS","L",10.43785997,-84.01250398,70,2.47,0.295,8.3,27.6274704954541,-12.7549328848639,-24.0900282997417,13.0273321870427,1.04646605543751
