"Pop","ID","All","Trail","Dist","Site","Side","Lat","Long","DensoAvg","C","N","C_N_Ratio","PC1","PC2","PC3","PC4","PC5","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","ESS1","ESS2","ESS3","ESS4","ESS5","ESS6","ESS7","ESS8","ESS9","ESS10","Rhat1","Rhat2","Rhat3","Rhat4","Rhat5","Rhat6","Rhat7","Rhat8","Rhat9","Rhat10"
"SAZ450",2,"SAZ450_2","SAZ",450,"LS","R",10.43437997,-84.00447202,83.83,2.52,0.303333333,8.3,3.21515276554502,-5.66099868953644,-12.8458627572996,-13.3170875637504,5.12242159115239,0.054401,0.10372,0.13981,0.266977,0.123132,0.142866,0.000627,0.079943,0.035241,0.053285,1995.6,1852.57,1894.84,2.77,2.03,310.96,248.13,2261.02,988.37,1777.91,1.017,1,1.05,13.692,19.506,1.147,1.008,1,1.015,1.016
"SAZ450",3,"SAZ450_3","SAZ",450,"LS","R",10.43437997,-84.00447202,83.83,2.52,0.303333333,8.3,-9.59989024004598,0.404864518713382,0.380470410952284,5.29822174487499,-10.2894140300215,0.094735,0.002203,0.034745,0.355068,0.185852,0.080823,0.097756,0.049354,0.061119,0.038345,2037.48,253.61,140.38,2.35,2.24,2068.96,3009.11,492.44,1209.54,1415.84,1.035,1.009,1.174,9.112,11.611,1.002,1.002,1.05,1.016,1.004
"SAZ500",10,"SAZ500_10","SAZ",500,"LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,15.9632463332145,-19.8576861468736,-8.29741016336744,-4.82600830062573,-25.3728555877301,0.000146,0.025337,0.044976,0.507146,0.253272,0.031065,0.04664,0.000367,0.000973,0.090077,1947.22,145.44,700.37,2.02,2,835.53,1339.93,987.34,292.24,2512.17,1.002,1.073,1.075,18.482,22.688,1.007,1.018,1.001,1.006,1.006
"SAZ500",1,"SAZ500_1","SAZ",500,"LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-9.43017904921448,-1.14096501060465,-4.42113088524346,10.9509177838824,-27.6575000876178,0.071543,0.000301,0.000364,0.524981,0.267385,0.000147,0.088288,0.00101,0.01887,0.027111,1695.37,975.21,992.74,2.17,2.14,2082.34,1493.57,444.85,123.22,789.25,1.071,1.002,1.001,13.585,16.644,1.004,1.004,1.003,1.164,1.005
"SAZ500",2,"SAZ500_2","SAZ",500,"LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-6.02500161972972,-11.7315778194515,-20.5187008312765,-4.0635375397647,-4.0026827862774,0.046372,0.048794,0.095878,0.395192,0.193757,0.078098,0.009345,0.082952,0.047229,0.002381,1620.29,1044.85,1469.92,2.05,2.02,590.07,130.4,2289.29,1566.86,243.85,1.008,1.005,1.024,12.465,15.55,1.17,1.039,1.005,1.006,1.01
"SAZ500",3,"SAZ500_3","SAZ",500,"LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-9.21566812193856,-4.64913095007774,-7.647908107702,9.10312641527975,-24.2396723468477,0.06088,0.000379,0.001924,0.523478,0.265462,0.000696,0.078221,0.015434,0.033211,0.020315,1383.68,759.47,288.91,2.14,2.08,478.93,2080.97,194.3,494.84,508.2,1.066,1.001,1.002,13.639,16.723,1.003,1.01,1.023,1.105,1.015
"SAZ500",4,"SAZ500_4","SAZ",500,"LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-11.8406158274514,3.3143026738592,-15.7771070887432,1.69829090694921,-24.6402590718326,0.089092,0.02049,0.036652,0.493915,0.266649,0.001169,0.042674,0.013204,0.019141,0.017014,2326.07,30.27,408.65,2.33,2.16,122.5,961.9,29.8,42.56,426.43,1.013,1.153,1.033,11.67,15.842,1.01,1.007,1.392,1.089,1.012
"SAZ500",5,"SAZ500_5","SAZ",500,"LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-12.4233078381883,-3.31674642885804,-18.7311624616872,-3.87483913508873,-18.9096499190131,0.063323,0.05844,0.091439,0.476557,0.256828,0.001882,0.020875,0.025708,0.004413,0.000534,2133.34,736.5,1561.42,2.73,2.27,265.12,186.59,110.98,131.62,612.52,1.004,1.041,1.006,10.484,14.535,1.014,1.019,1.267,1.035,1.003
"SAZ500",6,"SAZ500_6","SAZ",500,"LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-12.470030403267,-3.33254157953437,-14.5984765885797,-1.56708099989283,-16.4300826066065,0.062181,0.075268,0.079687,0.461366,0.253407,0.000732,0.039195,0.024399,0.002362,0.001404,1652.14,673.98,1272.36,2.5,2.2,338.53,876.61,107.97,248.81,249.29,1.006,1.021,1.004,9.045,12.505,1.007,1.002,1.298,1.002,1.009
"SAZ500",7,"SAZ500_7","SAZ",500,"LS","L",10.43456596,-84.00525698,82.75,2.606666667,0.306666667,8.5,-4.70893518244474,3.33014688090592,-25.4032228561235,4.01166268181339,-17.4014675491587,0.090551,0.021284,0.000166,0.475718,0.238686,0.118323,0.001821,0.015641,0.034779,0.003032,781.22,87.79,2090.56,2.04,2.05,378.46,294.62,176.27,281.51,224.87,1.093,1.014,1,13.062,15.831,1.088,1.011,1.035,1.041,1.038
