"Pop","ID","All","Trail","Dist","Site","Side","Lat","Long","DensoAvg","C","N","C_N_Ratio","PC1","PC2","PC3","PC4","PC5","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","ESS1","ESS2","ESS3","ESS4","ESS5","ESS6","ESS7","ESS8","ESS9","ESS10","ESS11","Rhat1","Rhat2","Rhat3","Rhat4","Rhat5","Rhat6","Rhat7","Rhat8","Rhat9","Rhat10","Rhat11"
"SOC1000",2,"SOC1000_2","SOC",1000,"LS","B",10.43857897,-84.01136496,91.75,1.415,0.17,8.5,-2.46968105547146,-8.73319668825614,-23.530568417745,11.9277056829022,-25.6327955216576,0.005528,0.051008,0.049537,0.038288,0.004038,0.078321,0.000174,0.000649,0.745106,0.026585,0.000766,107.83,1352.85,1174.5,1135.84,126.07,552.33,1782.15,644.95,498.93,500.1,392.84,1.009,1.004,1.002,1.005,1.01,1.001,1.002,1,1.003,1.001,1.003
"SOC1000",3,"SOC1000_3","SOC",1000,"LS","B",10.43857897,-84.01136496,91.75,1.415,0.17,8.5,11.289018091609,-17.6388319479766,-26.75670832924,2.51133710443283,-13.1192478869108,0.001912,0.156361,0.026752,0.001152,0.00363,0.000421,0.024749,0.087786,0.673287,0.000453,0.023498,170.85,2989.96,595.82,431.59,172.2,782.3,435.63,1876.16,834.79,796.93,598.69,1.007,1.001,1.003,1.006,1.017,1.001,1.014,1.001,1.001,1.002,1.005
"SOC1200",1,"SOC1200_1","SOC",1200,"LS","B",10.44017304,-84.01175899,73.625,2.015,0.235,8.6,33.5790864204306,-14.0825297480888,-30.1341003676175,-13.9587223540917,-6.08950896209959,3.7e-05,0.999612,4.1e-05,3.2e-05,4e-05,3.9e-05,3.5e-05,3.8e-05,3.4e-05,2.9e-05,6.5e-05,7853.61,5221.34,6392.45,8286.07,6590.96,6990.37,7564.77,6953.87,6295.71,8586.32,3556.18,1.001,1,1,1,1.001,1.001,1,1,1,1,1
"SOC1200",2,"SOC1200_2","SOC",1200,"LS","B",10.44017304,-84.01175899,73.625,2.015,0.235,8.6,30.563681524972,-12.4006621998408,-28.265333230307,-13.3154011490855,-5.82446195652345,4.9e-05,0.999473,5.1e-05,4.4e-05,5.5e-05,6.3e-05,4.7e-05,4.9e-05,4e-05,5e-05,8.1e-05,4669.29,4327.41,4936.02,5121.51,4460.88,3896.22,5088.52,5086.19,6256.95,6161.04,3412.37,1,1,1,1,1.001,1,1,1,1.001,1,1
"SOC1200",3,"SOC1200_3","SOC",1200,"LS","B",10.44017304,-84.01175899,73.625,2.015,0.235,8.6,31.3961592046473,-14.1635594177053,-29.513325758235,-13.7473741225443,-5.74430778153939,4.9e-05,0.99958,4e-05,3.7e-05,4.6e-05,4e-05,4.4e-05,4.3e-05,3.6e-05,3.2e-05,5.2e-05,5041.57,5683.91,6512.61,7264.23,5390.8,6009.95,5187.63,6927.64,6877.56,7635.85,4956.94,1.001,1.001,1.001,1,1,1,1,1,1,1,1
"SOC1400",1,"SOC1400_1","SOC",1400,"LS","B",10.44224597,-84.01180702,93.25,2.005,0.24,8.35,-2.57693992706865,-6.24569693003976,-23.9692074334591,6.6509840975459,-7.72815820934759,0.082697,0.101462,0.084629,0.010986,0.043856,0.067403,0.001424,0.069777,0.475843,0.058195,0.003727,2022.22,2382.58,2608.69,137.16,1348.96,1154.96,380.41,1758.42,754.14,2179.05,210.69,1,1,1.001,1.021,1.002,1.002,1.004,1,1.002,1,1.003
"SOC1400",2,"SOC1400_2","SOC",1400,"LS","B",10.44224597,-84.01180702,93.25,2.005,0.24,8.35,1.38198153429814,-2.56582523541436,-22.5793897454686,21.3994834641355,6.63521773980008,0.000295,0.071326,0.140481,0.005279,0.000249,0.001228,0.038995,0.000472,0.662145,0.050868,0.028663,888.75,1519.49,2419.35,126.71,855.68,326.11,887.24,731.24,979.54,2182.13,876.5,1.002,1.002,1.002,1.05,1,1.008,1.003,1,1.008,1,1.003
"SOC1400",3,"SOC1400_3","SOC",1400,"LS","B",10.44224597,-84.01180702,93.25,2.005,0.24,8.35,2.5288527563049,5.00758671919302,-14.118015342486,10.0795556569954,-11.3054357122591,0.009858,0.003955,0.046625,0.022477,0.008597,0.084288,0.008218,0.001023,0.663806,0.078168,0.072986,119.85,155.74,1169.33,397.09,93.41,972.12,107.89,411.82,329.13,2869.82,2429.25,1.009,1.007,1.002,1.007,1.002,1.001,1.011,1.01,1.002,1.002,1.002
"SOC1600",1,"SOC1600_1","SOC",1600,"LS","R",10.44317904,-84.01268796,90.625,1.905,0.215,8.7,4.23851521779859,0.0905453609368938,-22.3124998845716,13.4349085698331,0.755144412676542,0.002473,0.006314,0.139123,0.000547,0.055858,0.141084,0.024753,0.002714,0.52543,0.048033,0.053671,202.36,79.2,2786.45,414.29,961.23,1163.4,570.52,199.71,1034.67,1522.14,1349.08,1.013,1.001,1,1.004,1.006,1.001,1.006,1.001,1.002,1.002,1.001
"SOC1600",2,"SOC1600_2","SOC",1600,"LS","R",10.44317904,-84.01268796,90.625,1.905,0.215,8.7,8.03989264083822,-11.7180352185432,-24.5038352719173,-4.58163339221384,1.39583068550673,0.03779,0.334715,0.071957,0.001402,0.049411,0.046637,0.058247,0.030543,0.325667,0.02501,0.018619,1134.21,5908.51,2597.03,346.01,1895.15,933.49,2509.37,740.98,1323.6,1252.37,240.65,1.001,1,1.001,1.007,1.002,1.003,1,1,1.002,1,1.002
"SOC1600",3,"SOC1600_3","SOC",1600,"LS","R",10.44317904,-84.01268796,90.625,1.905,0.215,8.7,7.9016863731411,-10.8067962521193,-42.2316344533538,32.6871993632259,7.65492345526486,0.007581,0.238604,0.217778,0.001199,0.000311,0.067102,0.000381,0.054045,0.386787,0.024641,0.001572,108.17,4628.35,4512.2,389.63,1057.43,836.12,740.11,1222.28,710.71,1309.7,334.48,1.037,1,1.001,1.003,1.006,1.004,1.005,1.004,1.004,1.001,1.002
