param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_111_pop_1,2428.14,1.000
q_ind_112_pop_1,9840.11,1.000
q_ind_113_pop_1,7528.36,1.000
q_ind_114_pop_1,7749.36,1.000
q_ind_115_pop_1,3312.39,1.000
q_ind_116_pop_1,5058.27,1.000
q_ind_117_pop_1,1326.21,1.000
q_ind_118_pop_1,4158.10,1.000
q_ind_119_pop_1,2906.72,1.001
q_ind_120_pop_1,106.20,1.028
q_ind_121_pop_1,1831.26,1.000
q_ind_122_pop_1,1987.54,1.000
q_ind_123_pop_1,511.58,1.012
q_ind_124_pop_1,160.69,1.008
q_ind_125_pop_1,676.54,1.002
q_ind_126_pop_1,4084.51,1.001
q_ind_127_pop_1,180.33,1.017
q_ind_128_pop_1,4089.37,1.000
q_ind_129_pop_1,117.08,1.058
q_ind_130_pop_1,3377.85,1.001
q_ind_131_pop_1,916.96,1.006
q_ind_132_pop_1,2943.83,1.000
q_ind_133_pop_1,2105.59,1.001
q_ind_134_pop_1,3942.20,1.001
q_ind_135_pop_1,3460.96,1.000
q_ind_136_pop_1,4605.26,1.000
q_ind_137_pop_1,3729.33,1.001
q_ind_138_pop_1,4512.38,1.000
q_ind_139_pop_1,698.07,1.002
q_ind_140_pop_1,3538.05,1.000
q_ind_141_pop_1,3265.30,1.001
q_ind_142_pop_1,3611.83,1.000
q_ind_143_pop_1,1219.82,1.000
q_ind_144_pop_1,1690.79,1.001
q_ind_145_pop_1,2963.59,1.000
q_ind_146_pop_1,1614.66,1.000
q_ind_147_pop_1,1308.50,1.002
q_ind_148_pop_1,1311.52,1.001
q_ind_0_pop_2,1785.87,1.000
q_ind_1_pop_2,10221.82,1.000
q_ind_2_pop_2,7356.60,1.000
q_ind_3_pop_2,12182.70,1.000
q_ind_4_pop_2,10750.47,1.000
q_ind_5_pop_2,207.67,1.009
q_ind_6_pop_2,10275.97,1.000
q_ind_7_pop_2,10303.59,1.000
q_ind_8_pop_2,10704.84,1.000
q_ind_9_pop_2,8706.73,1.000
q_ind_10_pop_2,12204.06,1.000
q_ind_11_pop_2,4704.95,1.000
q_ind_12_pop_2,2691.16,1.001
q_ind_13_pop_2,4893.04,1.001
q_ind_14_pop_2,1877.01,1.002
q_ind_15_pop_2,3855.24,1.000
q_ind_16_pop_2,2524.61,1.001
q_ind_17_pop_2,715.50,1.003
q_ind_18_pop_2,100.42,1.001
q_ind_19_pop_2,2149.08,1.001
q_ind_20_pop_2,338.86,1.001
q_ind_21_pop_2,2321.42,1.001
q_ind_22_pop_2,1160.26,1.005
q_ind_23_pop_2,2074.28,1.002
q_ind_24_pop_2,1377.31,1.004
q_ind_25_pop_2,1258.73,1.003
q_ind_26_pop_2,697.11,1.001
q_ind_27_pop_2,2313.62,1.001
q_ind_28_pop_2,191.50,1.001
q_ind_29_pop_2,143.03,1.007
q_ind_30_pop_2,130.96,1.016
q_ind_31_pop_2,74.27,1.040
q_ind_32_pop_2,95.76,1.005
q_ind_33_pop_2,160.93,1.036
q_ind_34_pop_2,2686.47,1.003
q_ind_35_pop_2,1676.99,1.001
q_ind_36_pop_2,1142.80,1.000
q_ind_37_pop_2,1623.78,1.000
q_ind_38_pop_2,1174.50,1.002
q_ind_39_pop_2,595.82,1.003
q_ind_40_pop_2,6392.45,1.000
q_ind_41_pop_2,4936.02,1.000
q_ind_42_pop_2,6512.61,1.001
q_ind_43_pop_2,2608.69,1.001
q_ind_44_pop_2,2419.35,1.002
q_ind_45_pop_2,1169.33,1.002
q_ind_46_pop_2,2786.45,1.000
q_ind_47_pop_2,2597.03,1.001
q_ind_48_pop_2,4512.20,1.001
q_ind_49_pop_2,2428.63,1.001
q_ind_50_pop_2,2224.33,1.000
q_ind_51_pop_2,1833.32,1.000
q_ind_52_pop_2,1632.28,1.001
q_ind_53_pop_2,1526.04,1.002
q_ind_54_pop_2,1806.21,1.001
q_ind_55_pop_2,1086.06,1.004
q_ind_56_pop_2,9595.32,1.000
q_ind_57_pop_2,7648.21,1.000
q_ind_58_pop_2,11904.10,1.000
q_ind_59_pop_2,1502.38,1.001
q_ind_60_pop_2,9464.14,1.000
q_ind_61_pop_2,4625.98,1.000
q_ind_62_pop_2,12270.97,1.000
q_ind_63_pop_2,854.64,1.004
q_ind_64_pop_2,6030.76,1.000
q_ind_65_pop_2,1828.69,1.000
q_ind_66_pop_2,8902.91,1.000
q_ind_67_pop_2,1787.62,1.001
q_ind_68_pop_2,9069.23,1.000
q_ind_69_pop_2,2228.78,1.000
q_ind_70_pop_2,8542.32,1.000
q_ind_71_pop_2,1865.23,1.001
q_ind_72_pop_2,7608.95,1.000
