param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_122_pop_5,0.000135,0.000001,0.000000,0.001301
q_ind_123_pop_5,0.031450,0.031278,0.012915,0.050483
q_ind_124_pop_5,0.026802,0.026856,0.004838,0.046947
q_ind_125_pop_5,0.000373,0.000003,0.000000,0.003475
q_ind_126_pop_5,0.000088,0.000001,0.000000,0.000881
q_ind_127_pop_5,0.025463,0.025553,0.004167,0.045971
q_ind_128_pop_5,0.000082,0.000000,0.000000,0.000807
q_ind_129_pop_5,0.028697,0.028693,0.010886,0.046104
q_ind_130_pop_5,0.167596,0.167023,0.149247,0.188729
q_ind_131_pop_5,0.036184,0.036647,0.016176,0.053002
q_ind_132_pop_5,0.148407,0.147173,0.126830,0.174217
q_ind_133_pop_5,0.000128,0.000001,0.000000,0.001201
q_ind_134_pop_5,0.220590,0.220133,0.202013,0.241303
q_ind_135_pop_5,0.181052,0.180853,0.160892,0.202707
q_ind_136_pop_5,0.174512,0.174391,0.157369,0.192211
q_ind_137_pop_5,0.199119,0.199193,0.181109,0.217186
q_ind_138_pop_5,0.160456,0.160425,0.144569,0.176750
q_ind_139_pop_5,0.000654,0.000007,0.000000,0.005826
q_ind_140_pop_5,0.176916,0.176911,0.158134,0.195841
q_ind_141_pop_5,0.120360,0.120139,0.104380,0.137551
q_ind_142_pop_5,0.086894,0.086514,0.072271,0.103533
q_ind_143_pop_5,0.049726,0.049590,0.031177,0.068472
q_ind_144_pop_5,0.227332,0.226680,0.204928,0.253037
q_ind_145_pop_5,0.164007,0.163712,0.143869,0.185240
q_ind_146_pop_5,0.093801,0.093318,0.073524,0.116607
q_ind_147_pop_5,0.051725,0.051225,0.031766,0.074555
q_ind_148_pop_5,0.083654,0.083118,0.061364,0.108206
q_ind_0_pop_6,0.006135,0.001550,0.000000,0.025862
q_ind_1_pop_6,0.000025,0.000000,0.000000,0.000247
q_ind_2_pop_6,0.000024,0.000000,0.000000,0.000228
q_ind_3_pop_6,0.000018,0.000000,0.000000,0.000173
q_ind_4_pop_6,0.000021,0.000000,0.000000,0.000200
q_ind_5_pop_6,0.000302,0.000002,0.000000,0.002985
q_ind_6_pop_6,0.000022,0.000000,0.000000,0.000212
q_ind_7_pop_6,0.000023,0.000000,0.000000,0.000225
q_ind_8_pop_6,0.000025,0.000000,0.000000,0.000248
q_ind_9_pop_6,0.000030,0.000000,0.000000,0.000293
q_ind_10_pop_6,0.000020,0.000000,0.000000,0.000196
q_ind_11_pop_6,0.012614,0.010992,0.000000,0.037653
q_ind_12_pop_6,0.017231,0.019529,0.000000,0.039687
q_ind_13_pop_6,0.016045,0.017686,0.000000,0.038950
q_ind_14_pop_6,0.000218,0.000002,0.000000,0.002146
q_ind_15_pop_6,0.000418,0.000004,0.000000,0.003951
q_ind_16_pop_6,0.000206,0.000002,0.000000,0.001972
q_ind_17_pop_6,0.000160,0.000001,0.000000,0.001592
q_ind_18_pop_6,0.000092,0.000001,0.000000,0.000909
q_ind_19_pop_6,0.000127,0.000001,0.000000,0.001212
q_ind_20_pop_6,0.001359,0.000027,0.000000,0.011048
q_ind_21_pop_6,0.000130,0.000001,0.000000,0.001227
q_ind_22_pop_6,0.009813,0.008580,0.000000,0.029450
q_ind_23_pop_6,0.000627,0.000005,0.000000,0.005998
q_ind_24_pop_6,0.097756,0.097724,0.081921,0.113682
q_ind_25_pop_6,0.046640,0.046717,0.031074,0.062121
q_ind_26_pop_6,0.088288,0.088189,0.072030,0.104692
q_ind_27_pop_6,0.009345,0.008037,0.000000,0.028434
q_ind_28_pop_6,0.078221,0.078174,0.062882,0.094247
q_ind_29_pop_6,0.042674,0.042539,0.027865,0.057851
q_ind_30_pop_6,0.020875,0.021519,0.000001,0.038378
q_ind_31_pop_6,0.039195,0.039070,0.021513,0.057661
q_ind_32_pop_6,0.001821,0.000052,0.000000,0.012556
q_ind_33_pop_6,0.002370,0.000056,0.000000,0.017716
q_ind_34_pop_6,0.043889,0.043837,0.028791,0.059514
q_ind_35_pop_6,0.008766,0.007170,0.000000,0.027366
q_ind_36_pop_6,0.043406,0.042839,0.026881,0.062449
q_ind_37_pop_6,0.001754,0.000074,0.000000,0.010997
q_ind_38_pop_6,0.042816,0.042428,0.025528,0.061436
q_ind_39_pop_6,0.003062,0.000104,0.000000,0.018765
q_ind_40_pop_6,0.000037,0.000000,0.000000,0.000356
q_ind_41_pop_6,0.000056,0.000000,0.000000,0.000540
q_ind_42_pop_6,0.000041,0.000000,0.000000,0.000397
q_ind_43_pop_6,0.013724,0.014203,0.000000,0.030848
q_ind_44_pop_6,0.010660,0.005925,0.000000,0.037814
q_ind_45_pop_6,0.025617,0.025722,0.006614,0.042544
q_ind_46_pop_6,0.000669,0.000005,0.000000,0.006147
q_ind_47_pop_6,0.001478,0.000033,0.000000,0.010774
q_ind_48_pop_6,0.001790,0.000044,0.000000,0.012490
q_ind_49_pop_6,0.000499,0.000004,0.000000,0.004956
q_ind_50_pop_6,0.000636,0.000007,0.000000,0.005709
